month,level_1,level_2,level_3,level_4,value
1997-04,M3,M2,Quasi-money,Fixed Deposits,64552.5
1997-04,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,812.5
1997-04,M3,M2,Quasi-money,Savings & Other Deposits,25003.3
1997-05,M3,M2,M1,Currency In Active Circulation,10624.7
1997-05,M3,M2,M1,Demand Deposits,17209.9
1997-05,M3,M2,Quasi-money,Fixed Deposits,65308.3
1997-05,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,813.5
1997-05,M3,M2,Quasi-money,Savings & Other Deposits,25111
1997-06,M3,M2,M1,Currency In Active Circulation,10613.3
1997-06,M3,M2,M1,Demand Deposits,17567.7
1997-06,M3,M2,Quasi-money,Fixed Deposits,65059
1997-06,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,788.5
1997-06,M3,M2,Quasi-money,Savings & Other Deposits,25100.2
1997-07,M3,M2,M1,Currency In Active Circulation,10565.6
1997-07,M3,M2,M1,Demand Deposits,17707.6
1997-07,M3,M2,Quasi-money,Fixed Deposits,66229.8
1997-07,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,688
1997-07,M3,M2,Quasi-money,Savings & Other Deposits,25135.8
1997-08,M3,M2,M1,Currency In Active Circulation,10664.8
1997-08,M3,M2,M1,Demand Deposits,17769.6
1997-08,M3,M2,Quasi-money,Fixed Deposits,67060.2
1997-08,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,688
1997-08,M3,M2,Quasi-money,Savings & Other Deposits,24814.2
1997-09,M3,M2,M1,Currency In Active Circulation,10512.4
1997-09,M3,M2,M1,Demand Deposits,17885.3
1997-09,M3,M2,Quasi-money,Fixed Deposits,67586
1997-09,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,688
1997-09,M3,M2,Quasi-money,Savings & Other Deposits,24532.4
1997-10,M3,M2,M1,Currency In Active Circulation,10683.5
1997-10,M3,M2,M1,Demand Deposits,17501.5
1997-10,M3,M2,Quasi-money,Fixed Deposits,68806.6
1997-10,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,638.5
1997-10,M3,M2,Quasi-money,Savings & Other Deposits,24083.7
1997-11,M3,M2,M1,Currency In Active Circulation,10664.1
1997-11,M3,M2,M1,Demand Deposits,16963.3
1997-11,M3,M2,Quasi-money,Fixed Deposits,70270.7
1997-11,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,612.5
1997-11,M3,M2,Quasi-money,Savings & Other Deposits,23837.4
1997-12,M3,M2,M1,Currency In Active Circulation,10659.4
1997-12,M3,M2,M1,Demand Deposits,16641.7
1997-12,M3,M2,Quasi-money,Fixed Deposits,72704.6
1997-12,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,633.5
1997-12,M3,M2,Quasi-money,Savings & Other Deposits,22406.4
1998-01,M3,M2,M1,Currency In Active Circulation,10928.7
1998-01,M3,M2,M1,Demand Deposits,15448.3
1998-01,M3,M2,Quasi-money,Fixed Deposits,74587.1
1998-01,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,618.5
1998-01,M3,M2,Quasi-money,Savings & Other Deposits,21155.1
1998-02,M3,M2,M1,Currency In Active Circulation,10619.8
