half_year,level_1,level_2,value
2011-H1,All Items,Food Excl Food Serving Services,85.666
2011-H1,All Items,Food Serving Services,84.743
2011-H1,All Items,Clothing & Footwear,97.397
2011-H1,All Items,Housing & Utilities,97.302
2011-H1,All Items,Household Durables & Services,88.142
2011-H1,All Items,Health Care,83.869
2011-H1,All Items,Transport,90.877
2011-H1,All Items,Communication,103.327
2011-H1,All Items,Recreation & Culture,92.014
2011-H1,All Items,Education,77.446
2011-H1,All Items,Miscellaneous Goods & Services,94.639
2011-H2,All Items,Food,86.274
2011-H2,All Items,Food Excl Food Serving Services,86.63
2011-H2,All Items,Food Serving Services,86.106
2011-H2,All Items,Clothing & Footwear,98.132
2011-H2,All Items,Housing & Utilities,103.732
2011-H2,All Items,Household Durables & Services,90.265
2011-H2,All Items,Health Care,84.622
2011-H2,All Items,Transport,94.433
2011-H2,All Items,Communication,103.197
2011-H2,All Items,Recreation & Culture,92.959
2011-H2,All Items,Education,78.302
2011-H2,All Items,Miscellaneous Goods & Services,95.011
2012-H1,All Items,Food,87.363
2012-H1,All Items,Food Excl Food Serving Services,88.057
2012-H1,All Items,Food Serving Services,86.986
2012-H1,All Items,Clothing & Footwear,98.456
2012-H1,All Items,Housing & Utilities,108.405
2012-H1,All Items,Household Durables & Services,90.655
2012-H1,All Items,Health Care,87.107
2012-H1,All Items,Transport,97.174
2012-H1,All Items,Communication,103.242
2012-H1,All Items,Recreation & Culture,93.202
2012-H1,All Items,Education,80.524
2012-H1,All Items,Miscellaneous Goods & Services,95.235
2012-H2,All Items,Food,87.895
2012-H2,All Items,Food Excl Food Serving Services,88.514
2012-H2,All Items,Food Serving Services,87.567
2012-H2,All Items,Clothing & Footwear,99.832
2012-H2,All Items,Housing & Utilities,111.479
2012-H2,All Items,Household Durables & Services,91.816
2012-H2,All Items,Health Care,88.797
2012-H2,All Items,Transport,101.161
2012-H2,All Items,Communication,103.094
2012-H2,All Items,Recreation & Culture,93.587
2012-H2,All Items,Education,81.543
2012-H2,All Items,Miscellaneous Goods & Services,95.809
2013-H1,All Items,Food,88.932
2013-H1,All Items,Food Excl Food Serving Services,89.892
2013-H1,All Items,Food Serving Services,88.391
2013-H1,All Items,Clothing & Footwear,99.164
2013-H1,All Items,Housing & Utilities,112.969
2013-H1,All Items,Household Durables & Services,94.794
2013-H1,All Items,Health Care,90.478
2013-H1,All Items,Transport,101.308
2013-H1,All Items,Communication,101.888
2013-H1,All Items,Recreation & Culture,93.88
2013-H1,All Items,Education,83.382
2013-H1,All Items,Miscellaneous Goods & Services,96.756
2013-H2,All Items,Food,90.005
2013-H2,All Items,Food Excl Food Serving Services,90.779
2013-H2,All Items,Food Serving Services,89.581
2013-H2,All Items,Clothing & Footwear,99.645
2013-H2,All Items,Housing & Utilities,114.323
2013-H2,All Items,Household Durables & Services,96.178
2013-H2,All Items,Health Care,92.138
2013-H2,All Items,Transport,101.563
2013-H2,All Items,Communication,101.511
2013-H2,All Items,Recreation & Culture,95.322
2013-H2,All Items,Education,84.446
2013-H2,All Items,Miscellaneous Goods & Services,96.613
2014-H1,All Items,Food,91.657
2014-H1,All Items,Food Excl Food Serving Services,92.529
2014-H1,All Items,Food Serving Services,91.173
2014-H1,All Items,Clothing & Footwear,98.919
2014-H1,All Items,Housing & Utilities,114.6
2014-H1,All Items,Household Durables & Services,96.412
2014-H1,All Items,Health Care,93.396
2014-H1,All Items,Transport,100.789
2014-H1,All Items,Communication,101.045
2014-H1,All Items,Recreation & Culture,96.62
2014-H1,All Items,Education,86.363
2014-H1,All Items,Miscellaneous Goods & Services,97.715
2014-H2,All Items,Food,92.566
2014-H2,All Items,Food Excl Food Serving Services,93.46
2014-H2,All Items,Food Serving Services,92.069
2014-H2,All Items,Clothing & Footwear,98.114
2014-H2,All Items,Housing & Utilities,113.647
2014-H2,All Items,Household Durables & Services,97.359
2014-H2,All Items,Health Care,94.212
2014-H2,All Items,Transport,99.863
2014-H2,All Items,Communication,101.921
2014-H2,All Items,Recreation & Culture,96.241
2014-H2,All Items,Education,87.172
2014-H2,All Items,Miscellaneous Goods & Services,98.351
2015-H1,All Items,Food,93.58
2015-H1,All Items,Food Excl Food Serving Services,94.239
2015-H1,All Items,Food Serving Services,93.213
2015-H1,All Items,Clothing & Footwear,98.224
2015-H1,All Items,Housing & Utilities,111.092
2015-H1,All Items,Household Durables & Services,96.882
2015-H1,All Items,Health Care,93.118
2015-H1,All Items,Transport,100.039
2015-H1,All Items,Communication,102.305
2015-H1,All Items,Recreation & Culture,96.663
2015-H1,All Items,Education,88.972
2015-H1,All Items,Miscellaneous Goods & Services,98.178
2015-H2,All Items,Food,94.108
2015-H2,All Items,Food Excl Food Serving Services,94.148
2015-H2,All Items,Food Serving Services,94.084
2015-H2,All Items,Clothing & Footwear,99.129
2015-H2,All Items,Housing & Utilities,109.073
2015-H2,All Items,Household Durables & Services,95.71
2015-H2,All Items,Health Care,93.887
2015-H2,All Items,Transport,99.926
2015-H2,All Items,Communication,101.26
2015-H2,All Items,Recreation & Culture,96.979
2015-H2,All Items,Education,90.078
2015-H2,All Items,Miscellaneous Goods & Services,98.06
2016-H1,All Items,Food,95.456
2016-H1,All Items,Food Excl Food Serving Services,96.253
2016-H1,All Items,Food Serving Services,95.013
2016-H1,All Items,Clothing & Footwear,99.503
2016-H1,All Items,Housing & Utilities,106.337
2016-H1,All Items,Household Durables & Services,97.569
2016-H1,All Items,Health Care,93.829
2016-H1,All Items,Transport,97.127
2016-H1,All Items,Communication,101.399
2016-H1,All Items,Recreation & Culture,97.484
2016-H1,All Items,Education,91.454
2016-H1,All Items,Miscellaneous Goods & Services,98.555
2016-H2,All Items,Food,96.013
2016-H2,All Items,Food Excl Food Serving Services,96.384
2016-H2,All Items,Food Serving Services,95.805
2016-H2,All Items,Clothing & Footwear,98.222
2016-H2,All Items,Housing & Utilities,104.52
2016-H2,All Items,Household Durables & Services,98.309
2016-H2,All Items,Health Care,95.137
2016-H2,All Items,Transport,98.924
2016-H2,All Items,Communication,101.336
2016-H2,All Items,Recreation & Culture,97.805
2016-H2,All Items,Education,93.04
2016-H2,All Items,Miscellaneous Goods & Services,98.088
2017-H1,All Items,Food,96.853
2017-H1,All Items,Food Excl Food Serving Services,97.418
2017-H1,All Items,Food Serving Services,96.539
2017-H1,All Items,Clothing & Footwear,99.7
2017-H1,All Items,Housing & Utilities,103.421
2017-H1,All Items,Household Durables & Services,98.512
2017-H1,All Items,Health Care,96.423
2017-H1,All Items,Transport,100.388
2017-H1,All Items,Communication,101.745
2017-H1,All Items,Recreation & Culture,97.584
2017-H1,All Items,Education,94.434
2017-H1,All Items,Miscellaneous Goods & Services,98.324
2017-H2,All Items,Food,97.378
2017-H2,All Items,Food Excl Food Serving Services,97.712
2017-H2,All Items,Food Serving Services,97.192
2017-H2,All Items,Clothing & Footwear,98.996
2017-H2,All Items,Housing & Utilities,101.931
2017-H2,All Items,Household Durables & Services,99.026
2017-H2,All Items,Health Care,97.482
2017-H2,All Items,Transport,100.225
2017-H2,All Items,Communication,102.153
2017-H2,All Items,Recreation & Culture,98.158
2017-H2,All Items,Education,95.524
2017-H2,All Items,Miscellaneous Goods & Services,98.153
2018-H1,All Items,Food,98.188
2018-H1,All Items,Food Excl Food Serving Services,98.578
2018-H1,All Items,Food Serving Services,97.971
2018-H1,All Items,Clothing & Footwear,100.535
2018-H1,All Items,Housing & Utilities,100.845
2018-H1,All Items,Household Durables & Services,99.138
2018-H1,All Items,Health Care,98.687
2018-H1,All Items,Transport,100.154
2018-H1,All Items,Communication,101.359
2018-H1,All Items,Recreation & Culture,98.54
2018-H1,All Items,Education,97.204
2018-H1,All Items,Miscellaneous Goods & Services,99.36
2018-H2,All Items,Food,98.835
2018-H2,All Items,Food Excl Food Serving Services,99.144
2018-H2,All Items,Food Serving Services,98.663
2018-H2,All Items,Clothing & Footwear,100.887
2018-H2,All Items,Housing & Utilities,101.495
2018-H2,All Items,Household Durables & Services,99.71
2018-H2,All Items,Health Care,99.297
2018-H2,All Items,Transport,99.048
2018-H2,All Items,Communication,100.467
2018-H2,All Items,Recreation & Culture,99.402
2018-H2,All Items,Education,98.192
2018-H2,All Items,Miscellaneous Goods & Services,99.779
2019-H1,All Items,Food,99.688
2019-H1,All Items,Food Excl Food Serving Services,99.743
2019-H1,All Items,Food Serving Services,99.662
2019-H1,All Items,Clothing & Footwear,101.084
2019-H1,All Items,Housing & Utilities,100.019
2019-H1,All Items,Household Durables & Services,100.025
2019-H1,All Items,Health Care,100.306
2019-H1,All Items,Transport,99.667
2019-H1,All Items,Communication,100.053
2019-H1,All Items,Recreation & Culture,100.066
2019-H1,All Items,Education,99.703
2019-H1,All Items,Miscellaneous Goods & Services,100.005
2019-H2,All Items,Food,100.312
2019-H2,All Items,Food Excl Food Serving Services,100.258
2019-H2,All Items,Food Serving Services,100.339
2019-H2,All Items,Clothing & Footwear,98.916
2019-H2,All Items,Housing & Utilities,99.981
2019-H2,All Items,Household Durables & Services,99.975
2019-H2,All Items,Health Care,99.695
2019-H2,All Items,Transport,100.333
2019-H2,All Items,Communication,99.947
